,Date,Ordinary Shares Number,Stockholders Equity,Total Liabilities Net Minority Interest,Long Term Debt And Capital Lease Obligation,Current Liabilities,Current Debt And Capital Lease Obligation,Accounts Payable,Total Assets,Current Assets,Inventory,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Free Cash Flow,Cash Dividends Paid,Operating Cash Flow,Tax Rate For Calcs,EBITDA,EBIT,Interest Expense,Basic EPS,Net Income,Net Income Continuous Operations,Gross Profit,Cost Of Revenue,Total Revenue,Close price,Market cap,Debt to equity,Interest coverage,Current ratio,Cash ratio,Sales to assets,Days in inventory,Account receiveable days,Account payable days,Gross profit margin,EBITDA margin,EBIT margin,Profit margin from continuing operations,Net profit margin,Return on Assets,Dividend per share,Payout ratio,Return on Equity,P/E,Dividend yield,Beta,RevGR,DivGR,FCFGR,rE(Beta),rE(Dividend),rE,Total debt,rD,wE,wD,WACC,Growth,RollingFCF,FCF6,Discounted terminal value,Growing annuity,Total value now,DCF fair share value,Share px relative to fair value,ticker
0,2024-12-31,4441340468.0,20088040000.000004,45123260000.00001,12554360000.000002,30453920000.000004,1835820000.0000002,4038440000.0000005,65211300000.00001,22525580000.000004,5718860000.000001,10072860000.000002,3683120000.0000005,4388440000.0,0.0,1722140000.0000002,0.206064,4892160000.0,4892160000.0,-85820000.00000001,0.8898664780319653,3952200000.0000005,3952200000.0000005,10172260000.000002,1823360000.0000002,11995620000.000002,86.0199966430664,382044092148.07495,2.2462748978994465,-57.00489396411092,0.7396611010996286,0.12094075245485639,0.18395002093195506,1144.8007524570025,306.4946955638808,808.4144656019656,0.8479978525495139,0.40782885753299947,0.40782885753299947,0.3294702566436749,0.3294702566436749,0.3294702566436749,0.0,0.0,0.19674393320602707,96.6661839350425,0.0,0.192,0.2829872827400177,0.0,2.959347400322172,0.05627840000000006,0.0,0.05627840000000006,14390180000.000002,0.014410587657094713,0.9637009688339332,0.03629903116606681,0.054650848880806034,0.2829872827400177,4388440000.0,78289634527.35646,1208464939257.2517,41036003977.85555,1249500943235.1072,281.33419453829345,0.30575734593598397,NVO
1,2024-09-30,4451000185.0,16873080000.000002,38768660000.0,7203280000.000001,29170120000.000004,772800000.0000001,3371060000.0000005,55641740000.00001,27322400000.000004,5312160000.000001,9281860000.0,10483340000.000002,4388440000.0,2181620000.0,6139000000.000001,0.206,5229700000.000001,4928700000.0,114940000.00000001,0.8582000000000001,3822140000.0000005,3822140000.0000005,8400420000.000001,1583120000.0000002,9983540000.0,119.06999969482422,529980590669.61255,2.2976634971208574,45.49939098660171,0.9366570997993837,0.3593862486681577,0.17942537382907145,1224.7576936681994,339.3464542637181,777.2227626459145,0.8414269888236038,0.5238322278470363,0.4936826015621713,0.38284416148981226,0.38284416148981226,0.38284416148981226,0.49014152085459867,0.5707849529321269,0.22652295846401488,138.74388218926148,0.004116414899729813,0.192,0.806158937611309,0.0,-4.543227206023097,0.05627840000000006,0.004116414899729813,0.05627840000000006,7976080000.000001,0.014410587657094713,0.985173378387386,0.014826621612614055,0.05561362776058,0.806158937611309,4802770000.0,666941232331.6206,10052987897673.682,157925150310.24582,10210913047983.928,2294.0715847181946,0.05190334969841443,NVO
2,2024-06-30,4453572811.0,15753080000.000002,35960540000.0,7225120000.000001,26307260000.000004,763280000.0000001,4166260000.0000005,51713620000.00001,24850000000.000004,5089840000.000001,8899100000.0,8771560000.0,5217100000.000001,0.0,7070420000.000001,0.209,5003460000.0,3765160000.0000005,218680000.00000003,0.6300000000000001,2807000000.0000005,2807000000.0000005,8090040000.000001,1438360000.0000002,9528400000.0,144.8777313232422,645223525140.5544,2.282762482003519,22.88028169014084,0.9446061657504431,0.3334273504728352,0.1842532006074995,1291.6040490558692,340.8936967381722,1057.2352540393226,0.8490449603291215,0.5251101968851014,0.3951513370555393,0.29459300617102563,0.29459300617102563,0.29459300617102563,0.0,0.0,0.17818737669078047,229.96465289403517,0.0,0.192,0.19106670584778138,0.0,-0.6353414732322561,0.05627840000000006,0.0,0.05627840000000006,7988400000.000001,0.027374693305292675,0.9877705845644488,0.012229415435551227,0.05585495627536126,0.19106670584778138,2979900000.0000005,34031272676.168797,509945297402.12427,21699680560.863407,531644977962.9877,119.37493794866525,1.2136360764898901,NVO
3,2024-03-31,4461908793.0,13847540000.000002,28001400000.000004,2346960000.0,23184840000.000004,1422960000.0000002,1820840000.0000002,41848940000.00001,16298940000.000002,4704000000.0,7979860000.000001,1302420000.0000002,742700000.0000001,3997980000.0000005,2003960000.0000002,0.204,5166840000.000001,4758880000.0,290360000.0,0.7980000000000002,3556980000.0000005,3556980000.0000005,7760620000.000001,1388240000.0000002,9148860000.0,127.07437133789062,566994254837.4813,2.0221208965635773,17.794599807135974,0.7029998913082859,0.056175500887649,0.21861628992275547,1236.7890278338036,318.361948920412,478.7404195240016,0.8482608762184579,0.5647523297984668,0.5201609818053834,0.38878942294449803,0.38878942294449803,0.38878942294449803,0.8960245907025649,1.1239815798795607,0.2568672847307175,159.2410668394619,0.007051182557653867,0.192,0.16593980014996404,0.0,24.098020735155515,0.05627840000000006,0.007051182557653867,0.05627840000000006,3769920000.0,0.07702020202020202,0.9933949603598133,0.006605039640186661,0.056311621241114926,0.16593980014996404,742700000.0000001,7463287644.435079,110599752309.2821,5042678496.484184,115642430805.7663,25.91770387310252,4.902994955111314,NVO
4,2023-12-31,4458287946.0,14918540000.000002,29109500000.000004,2873920000.0000005,23751700000.000004,906920000.0000001,3584840000.0000005,44028040000.00001,19550440000.0,4453540000.0,9067800000.0,4232200000.0000005,742700000.0000001,0.0,1337140000.0000002,0.204815,3991540000.0000005,3572660000.0000005,-294140000.0,0.6896862735747576,3074820000.0000005,3074820000.0000005,7818860000.000001,1401960000.0000002,9220820000.0,102.32595825195312,456198586237.58185,1.9512298120325446,-13.570204664445503,0.8231175031681941,0.17818514043205327,0.20943062648257788,1159.4782304773316,358.9428055205502,933.3123626922309,0.8479571231192021,0.43288340950154114,0.38745577942091924,0.33346491960584856,0.33346491960584856,0.33346491960584856,0.0,0.0,0.2061073000441062,148.3659486531185,0.0,0.192,-0.031216312648983495,0.0,-7.082062454611474,0.05627840000000006,0.0,0.05627840000000006,3780840000.0000005,0.07702020202020202,0.9917804149830667,0.008219585016933317,0.056319225933619814,0.005,742700000.0000001,3061045504.9069977,45353808986.91123,3206067597.8518453,48559876584.76308,10.892045819591186,9.394558189234074,NVO
0,2024-12-31,1585179249.0,48960608400.0,50738509800.0,31050894600.0,13846562400.0,894082200.0,3037194600.0,99705170400.0,18178294200.0,8226418200.0,4695358800.0,3476530200.0,2158893000.0,959976600.0,2532789600.0,0.097398,1616722800.0,382819800.0,208533600.0,0.09904709520960932,157007400.0,157311000.0,4799850000.0,2751368400.0,7551218400.0,13.239999771118164,20987772893.94126,1.0363128943471218,7.752816812254716,1.3128380658581367,0.25107532827064716,0.07573547459681189,1091.3270076809779,226.95754131545183,402.91806397136787,0.6356391440088661,0.21410091913114312,0.05069642800955141,0.020832532138124887,0.02079232670584657,0.02079232670584657,0.6055949827791368,6.114212451132876,0.003206810640857968,133.67378157934763,0.045739803115418955,0.456,0.04164623616914206,27.076576865246203,6.776782686838378,0.07481120000000008,28.36079396321749,0.07481120000000008,31944976800.0,0.0065278995600960964,0.39649882190691377,0.6035011780930862,0.033218439059319864,0.04164623616914206,1701532800.0,8694043528.675913,261654424716.59857,8718129046.166876,270372553762.76544,170.56276375894285,0.07762538246525084,TAK
1,2024-09-30,1585180594.0,45676976400.0,50499259800.0,29218807200.0,15755764200.0,4119066600.0,2728011000.0,96181800000.0,20156485800.0,7962444600.0,4623544200.0,5981019000.0,1244172600.0,60713400.0,1854355800.0,0.228412,2509834800.0,1239651600.0,451796400.0,0.38323936231583716,607503600.0,607899600.0,5159398200.0,2602452600.0,7761850800.0,14.220000267028809,22541268469.968887,1.1055736123549544,5.555234171852631,1.279308673583729,0.37960830868489387,0.08069978727784259,1116.7512826170205,217.42155015399163,382.60985617951314,0.6647123647365136,0.3233551977061966,0.15971082567059908,0.07831889785874266,0.07826787909914476,0.07826787909914476,0.038300620276203054,0.09993916085435543,0.01329999592529947,37.104748794853045,0.0026934331615315614,0.456,-0.10854751292050087,59.24649349403933,2.940815124846826,0.07481120000000008,59.40876339748217,0.07481120000000008,33337873800.0,0.013552046021603214,0.4033932439597097,0.5966067560402903,0.03641680852244175,0.005,729356100.0,3006048487.1165996,80013207001.48141,3328249574.3416724,83341456575.82309,52.575370207833295,0.2704688566303266,TAK
2,2024-06-30,1569082544.0,51469552200.0,55627776600.0,33278797200.0,16270333200.0,2895703800.0,3094621200.0,107102707800.0,20509711200.0,8426477400.0,4985805000.0,5660542800.0,214539600.0,911526000.0,1124006400.0,0.302363,2564199000.0,1295547000.0,393960600.0,0.200343,628636800.0,628980000.0,5418837600.0,2553896400.0,7972734000.0,13.0,20398073072.0,1.080789985967665,6.508770166356737,1.2605587696261806,0.34790576999369627,0.07444007872226738,1204.3026690511017,228.25530426576378,442.2797800255328,0.6796711893310375,0.32162103990927077,0.16249720610269952,0.07889138155117179,0.07884833483720892,0.07884833483720892,0.5809292847502355,1.4500041995632453,0.012213760818381474,64.88871585231328,0.044686868057710424,0.456,-0.10580220034934064,-3.736280326837577,19.197071309912015,0.07481120000000008,-3.8585561247718765,0.07481120000000008,36174501000.0,0.010890560729503913,0.36056469776396144,0.6394353022360386,0.03183248853082536,0.005,814334400.0,3356287403.542664,106942959962.07834,3764825436.343793,110707785398.42213,70.55574343220923,0.18425147787565374,TAK
3,2024-03-31,1569013464.0,48003542400.0,51709594200.0,29544906600.0,15266479800.0,2423856600.0,2111703000.0,99718027200.0,16886628000.0,7985135400.0,4743255000.0,3121067400.0,1414129200.0,60231600.0,1838680800.0,0.232,568220400.0,-664290000.0,-350644800.0,-0.012695110945204738,-19918800.0,-19760400.0,4411228800.0,2524506600.0,6935735400.0,13.670000076293945,21448414172.586227,1.0772037148658429,-1.6205014305074537,1.1061245435244345,0.20443923162954697,0.06955347588344588,1154.5124980065411,249.61852999755442,305.31573773663337,0.6360145746044464,0.08192648179744573,-0.09577787526323453,-0.002849070626310225,-0.0028719088678036938,-0.0028719088678036938,0.03838819830547993,-3.0238568588469183,-0.00041494437710496964,-1076.7924861229706,0.002808207614574301,0.456,0.5980612236158837,56.532070833583006,-3.393154175728781,0.07481120000000008,56.6936328329801,0.07481120000000008,31968763200.0,0.014272225419174797,0.4015265356119993,0.5984734643880008,0.036598590971771976,0.5980612236158837,935843700.0,62348181958.577736,1648553349554.8984,20531117385.87248,1669084466940.771,1063.7795692878585,0.012850406673485235,TAK
4,2023-12-31,1568906327.0,44496764400.0,49370244000.0,28339555200.0,15062308800.0,2443927200.0,3192195600.0,93871450200.0,16030278000.0,7719624000.0,4727118000.0,2094866400.0,457558200.0,912456600.0,966576600.0,0.232,2078267400.0,843664800.0,439348800.0,0.44473783296815017,697752000.0,697989600.0,4829253000.0,2504574600.0,7333827600.0,14.270000457763672,22388294004.47832,1.1095243590340695,4.730335897127749,1.0642643311097166,0.13908003267068858,0.07812628423631193,1125.0065220656634,235.2656980919486,465.209299016288,0.6584901177660626,0.28338100012059186,0.11503744647610752,0.09517398527339258,0.09514158745700539,0.09514158745700539,0.5815876858274662,1.3077090427544458,0.0156809603891109,32.08632007429333,0.04075596826705428,0.456,-0.2171265656694739,-3.7359765397999287,8.362398488323453,0.07481120000000008,-3.8474839128354197,0.07481120000000008,30783482400.0,0.014272225419174797,0.42105597214150436,0.5789440278584956,0.03784554805015591,0.005,457558200.0,1885830714.074777,47682888772.95897,2079531061.715984,49762419834.67495,31.717903725857656,0.44990364373072417,TAK
